Solute_SMILES,Solvent_SMILES,T_K,ln_gamma_inf
CCCO,O,373.15,2.8725528284364588
CCCCO,O,283.15,3.6399071483577323
CCCCO,O,293.15,3.6829343167543085
CCCCO,O,293.15,3.837428761217175
CCCCO,O,298.15,3.7833051519703096
CCCCO,O,298.15,3.85081758998374
CCCCO,O,298.15,3.8845736966399333
CCCCO,O,298.15,3.9183290802770006
CCCCO,O,298.15,3.935206186717125
CCCCO,O,298.15,3.9520856717316857
CCCCO,O,298.15,4.323402588495852
CCCCO,O,298.2,3.983770479511387
CCCCO,O,303.15,3.916154459207595
CCCCO,O,303.15,3.9493534716513583
CCCCO,O,308.15,3.65529681709681
CCCCO,O,308.15,4.030893449641484
CCCCO,O,308.15,4.063553684620665
CCCCO,O,313.15,3.887326542830363
CCCCO,O,313.15,4.015883797061877
CCCCO,O,313.15,4.064093236908465
CCCCO,O,318.15,4.082843679885048
CCCCO,O,323.15,4.041079149047413
CCCCO,O,323.15,4.056651348513975
CCCCO,O,323.15,4.072223349081951
CCCCO,O,323.15,4.103368721736717
CCCCO,O,323.15,4.118939609077481
CCCCO,O,323.2,4.054848077714061
CCCCO,O,323.23,4.349566715759945
CCCCO,O,328.15,4.1255605665971204
CCCCO,O,333.15,3.862330534302201
CCCCO,O,333.15,4.073799959730392
CCCCO,O,333.15,4.1342189078649625
CCCCO,O,333.15,4.164428615930909
CCCCO,O,333.15,4.194639268306023
CCCCO,O,333.2,4.102297850808174
CCCCO,O,343.15,4.0838665254900075
CCCCO,O,343.15,4.15719102764046
CCCCO,O,343.15,4.215849551695928
CCCCO,O,353.15,3.830754379957693
CCCCO,O,353.15,4.044495837975592
CCCCO,O,353.15,4.129993197968359
CCCCO,O,363.15,4.014971213810995
CCCCO,O,372.15,4.021653790493495
CCCCO,O,373.15,3.9807726473371816
CCCCO,O,390.15,3.8953589277284255
CCCCCO,O,283.15,5.069237480010352
CCCCCO,O,293.15,5.234887563888255
CCCCCO,O,298.15,5.165962424491233
CCCCCO,O,298.15,5.284111945625769
CCCCCO,O,298.15,5.317865059390406
CCCCCO,O,298.15,5.38537999222443
CCCCCO,O,298.2,5.146738377088596
CCCCCO,O,303.15,5.351113780684867
CCCCCO,O,313.15,5.438566146920084
CCCCCO,O,323.15,5.468600079730235
CCCCCO,O,333.15,5.280051557741144
CCCCCO,O,333.15,5.4311028560559835
CCCCCO,O,333.2,5.278104455096822
CCCCCO,O,343.15,5.36109496316769
CCCCCO,O,343.2,5.197949920301946
CCCCCO,O,353.15,5.346626462641822
CCCCCO,O,363.15,5.230445295301202
CCCCCO,O,371.15,5.1504378153582255
CCCCCO,O,373.15,5.101401833850708
c1ccccc1,O,278.75,7.831136811602928
c1ccccc1,O,279.15,7.796210163475202
c1ccccc1,O,279.35,7.787792730515996
c1ccccc1,O,279.45,7.747579567386571
c1ccccc1,O,279.85,7.820772659281815
c1ccccc1,O,280.25,7.7680765370058245
c1ccccc1,O,282.15,7.778605031899494
c1ccccc1,O,282.15,7.8142744240274595
c1ccccc1,O,282.55,7.779901837338731
c1ccccc1,O,283.15,7.826295478904883
c1ccccc1,O,283.15,7.861842633550858
c1ccccc1,O,283.15,7.879613159304748
c1ccccc1,O,283.25,7.857701265536692
c1ccccc1,O,284.15,7.785184593148671
c1ccccc1,O,284.95,7.805535748097196
c1ccccc1,O,285.25,7.79330635167755
c1ccccc1,O,285.65,7.600882459342079
c1ccccc1,O,285.65,7.829900837858062
c1ccccc1,O,287.15,7.804222823348753
c1ccccc1,O,288.06,7.645373787138911
c1ccccc1,O,288.15,7.798986631015034
c1ccccc1,O,288.15,7.816449228234415
c1ccccc1,O,288.15,7.833913169933952
c1ccccc1,O,288.15,7.921234425672389
c1ccccc1,O,288.15,7.938698819125427
c1ccccc1,O,288.25,7.79497964734689
c1ccccc1,O,289.15,7.997481536895414
c1ccccc1,O,289.95,7.796781694268103
c1ccccc1,O,290.05,7.810162073507411
c1ccccc1,O,290.2,7.838887331591411
c1ccccc1,O,291.05,7.7878798278722305
c1ccccc1,O,291.75,7.794839626508266
c1ccccc1,O,293.0,8.10831927993391
c1ccccc1,O,293.06,7.64057018815368
c1ccccc1,O,293.15,7.61994008841922
c1ccccc1,O,293.15,7.774431306847297
c1ccccc1,O,293.15,7.793314601379529
c1ccccc1,O,293.15,7.812196076899055
