Solute_SMILES,Solvent_SMILES,T_K,ln_gamma_inf
Cc1cccc(C)n1,CCO,313.2,-0.07257069283483537
CC1CCCCC1,CCO,313.2,2.3749057545736716
CC1CCCCC1,CCO,333.2,2.278292400425001
Cc1ccccc1,CCO,296.4,2.0541237336955462
Cc1ccccc1,CCO,298.2,1.7526720805200082
Cc1ccccc1,CCO,303.2,1.7867469274045107
Cc1ccccc1,CCO,313.2,1.747459210331475
Cc1ccccc1,CCO,318.5,1.7227665977411035
Cc1ccccc1,CCO,318.5,1.7227665977411035
Cc1ccccc1,CCO,318.6,1.9459101490553132
Cc1ccccc1,CCO,318.6,1.9315214116032138
Cc1ccccc1,CCO,323.2,1.7647307968401356
Cc1ccccc1,CCO,323.2,1.7101878155342434
Cc1ccccc1,CCO,330.0,1.6752256529721035
Cc1ccccc1,CCO,333.2,1.7298840655099674
Cc1ccccc1,CCO,333.2,1.6808279085207734
Cc1ccccc1,CCO,337.2,1.791759469228055
Cc1ccccc1,CCO,343.2,1.6845453849209058
Cc1ccccc1,CCO,349.4,1.6370530794670737
Cc1ccccc1,CCO,351.2,1.6467336971777973
Cc1ccccc1,CCO,351.8,1.7227665977411035
Clc1ccccc1,CCO,323.2,1.6486586255873816
Clc1ccccc1,CCO,335.8,1.62924053973028
Clc1ccccc1,CCO,348.0,1.589235205116581
CCCCC,CCO,293.2,2.2617630984737906
CCCCC,CCO,298.2,2.0515563381903004
CCCCC,CCO,298.2,2.2502386126218363
CCCCC,CCO,299.7,2.186051276738094
CCCCC,CCO,303.2,2.224623551524334
CCCCC,CCO,304.2,2.2082744135228043
CCCCC,CCO,310.4,2.163323025660538
CCCCC,CCO,312.1,2.151762203259462
CCCCC,CCO,313.2,2.1126345090356
CCCCC,CCO,313.2,2.1701959049483
CCCCC,CCO,322.0,2.1400661634962708
CCCCC,CCO,322.2,2.1162555148025524
CCCCC,CCO,323.2,2.1102132003465894
CCCCC,CCO,324.7,2.1162555148025524
CCCCC,CCO,335.2,2.1041341542702074
CCCCC,CCO,343.0,2.0541237336955462
CCCCC,CCO,352.4,1.9459101490553132
CCCCC,CCO,354.2,1.9315214116032138
CCCCC,CCO,354.4,2.0014800002101243
CCCC#N,CCO,278.2,1.5107219394949427
CCCC#N,CCO,288.2,1.425515074273172
CCCC#N,CCO,293.2,1.3737155789130306
CCCC#N,CCO,298.2,1.3506671834767394
CCCC#N,CCO,303.2,1.308332819650179
CCCC#N,CCO,308.2,1.2892326482767593
CCCC#N,CCO,313.2,1.252762968495368
CCCC#N,CCO,323.2,1.2149127443642704
CCCCCC,CCO,293.2,2.258633205464863
CCCCCC,CCO,293.2,2.4849066497880004
CCCCCC,CCO,298.2,2.4849066497880004
CCCCCC,CCO,298.2,2.359910159613315
CCCCCC,CCO,303.2,2.5416019934645457
CCCCCC,CCO,313.2,2.105352923464337
CCCCCC,CCO,313.2,2.451005098112319
CCCCCC,CCO,313.2,2.2925347571405443
