Solute_SMILES,Solvent_SMILES,T_K,ln_gamma_inf,ln_gamma_inf_pred_mosced
CCO,O,303.15,1.4290424994336068,1.362906606421265
CCO,O,303.15,1.4954402033806105,1.362906606421265
CCO,O,303.15,1.5286399196045264,1.362906606421265
CCO,O,303.15,1.644837874265694,1.362906606421265
CCO,O,303.25,1.6255572943139835,1.3628093829360748
CCO,O,308.15,1.4970080230889664,1.357175067269172
CCO,O,313.15,1.548092155662345,1.3498437368981382
CCO,O,313.15,1.5641622651088645,1.3498437368981382
CCO,O,313.15,1.612369610803768,1.3498437368981382
CCO,O,313.15,1.6445096458466617,1.3498437368981382
CCO,O,313.15,1.69271783620339,1.3498437368981382
CCO,O,313.15,1.7087871967892414,1.3498437368981382
CCO,O,313.25,1.6740920518876163,1.3496824976688977
CCO,O,318.15,1.583056975425798,1.3411523991820442
CCO,O,322.05,1.6604560689747043,1.3335632949862797
CCO,O,323.15,1.6181974355471789,1.3313081626294194
CCO,O,323.15,1.7427757863350828,1.3313081626294194
CCO,O,323.15,1.758349176175439,1.3313081626294194
CCO,O,323.25,1.724761036097453,1.3311007916031805
CCO,O,328.15,1.653473936423712,1.320490197362157
CCO,O,328.15,1.6841445624872975,1.320490197362157
CCO,O,333.15,1.5075934305010563,1.3088537240269846
CCO,O,333.15,1.673747032261203,1.3088537240269846
CCO,O,333.15,1.7190615281541366,1.3088537240269846
CCO,O,333.15,1.749272895619975,1.3088537240269846
CCO,O,333.15,1.7945871342790474,1.3088537240269846
CCO,O,333.25,1.7620422544399057,1.3086136020629184
CCO,O,343.15,1.8184452161570928,1.2836460907230085
CCO,O,343.25,1.7868842714062274,1.283383283396095
CCO,O,351.35,1.7549692666561505,1.2615448840076
CCO,O,353.05,1.818643175553347,1.2568416519822276
CCO,O,358.15,1.7818808358045648,1.2425342625562343
CCO,O,363.15,1.7906855594599915,1.22827156635309
CCO,O,368.15,1.800116121609101,1.2138340937682384
CCO,O,372.15,1.81618700603854,1.2021926151694713
CCO,O,373.15,1.6482893266356866,1.199272604233768
CCO,O,373.3,1.7937108972865208,1.1988343207090746
CO,O,273.35,0.1765046714723898,1.2187462605723458
CO,O,283.15,0.3230685211220377,1.1864600695020575
CO,O,293.15,0.4259472430488156,1.1536250010758835
CO,O,293.15,0.5117751728015789,1.1536250010758835
CO,O,293.15,0.9752575096380048,1.1536250010758835
CO,O,297.45,0.7445244714196935,1.1396422258515928
CO,O,298.15,0.4258492656292666,1.1373764667455366
CO,O,298.15,0.4596060108744184,1.1373764667455366
CO,O,298.15,0.4933599835869288,1.1373764667455366
CO,O,298.15,0.5102394520008844,1.1373764667455366
CO,O,298.15,0.5271162087019715,1.1373764667455366
CO,O,298.15,0.5439973091540619,1.1373764667455366
