Solute_SMILES,Solvent_SMILES,T_K,ln_gamma_inf,ln_gamma_inf_pred_mosced
O,CCCCCCC,296.15,7.16280826569203,13.746899549821364
O,CCCCCCC,298.15,7.0791506956425385,13.652950440289697
O,CCCCCCC,298.15,7.080842665085672,13.652950440289697
O,CCCCCCC,298.15,7.261435743940541,13.652950440289697
O,CCCCCCC,298.15,7.301943710362531,13.652950440289697
O,CCCCCCC,298.15,7.585494362139409,13.652950440289697
O,CCCCCCC,298.15,7.69013969081241,13.652950440289697
O,CCCCCCC,313.15,7.047447653720132,12.932950460002122
O,CCCCCCC,313.15,7.262775855208943,12.932950460002122
O,C1CCCC1,283.15,7.99728309516684,10.688913010899828
O,CC(C)CC(C)(C)C,293.15,7.220710283411295,14.214596952649774
O,CC(C)CC(C)(C)C,293.15,7.725387431413584,14.214596952649774
O,CC(C)CC(C)(C)C,298.15,7.583043941240769,13.972337609256186
O,CCCCCCCCCCCCCCCC,293.15,7.052807550681276,28.36151900456317
O,CCCCCCCCCCCCCCCC,298.15,7.072379490817057,27.856971916046724
O,CCCCCCCCCCCCCCCC,298.15,7.296860626321727,27.856971916046724
O,CC(C)C(C)C(C)C,298.15,7.664168296160168,14.403577470548685
O,CCCC(C)CC,298.15,7.793281602163257,13.350759758681932
O,CCC1CCCCC1,310.9,7.118777664885934,13.891505940938265
O,ClC(Cl)(Cl)Cl,283.15,7.402756352401156,10.01472266524378
O,CCO,298.15,1.194055792917669,2.166240525934453
O,CCO,373.15,1.0648245236219325,1.6185354773259124
O,CO,298.15,0.4784862994533061,1.3364684185749849
O,CO,307.75,0.4685212811104118,1.2886236827359616
O,CO,317.85,0.5786169737149491,1.2418919951116942
O,CO,327.85,0.5351005881778923,1.1988622989093018
O,CO,333.15,0.5696566380296487,1.177241036525877
O,CO,337.05,0.5598214810648546,1.161818376132092
O,CO,373.15,0.628859294677401,1.0357979846909606
O,CC(C)O,288.15,1.405398214918962,3.0603124457094646
O,CC(C)O,318.35,1.260010924204211,2.6788206197061064
O,CC(C)O,328.15,1.228142353313121,2.567005215673801
O,CC(C)O,337.95,1.097217983743282,2.460587210228543
O,CC(C)O,355.51,1.1232463629597824,2.282555156381161
O,CC(C)O,363.15,1.1291641251959492,2.209856691690653
O,CC(C)O,373.15,1.1108109152916583,2.1187874111009632
O,CC(C)O,373.15,1.5153799482804002,2.1187874111009632
O,ClC(Cl)Cl,308.15,4.7870166299338095,6.4685488083610005
O,CN(C)C=O,353.65,-0.036703404235681,-0.6203622888144641
O,CN(C)C=O,358.15,-0.0261694525819047,-0.6094124556633725
O,CN(C)C=O,363.05,-0.0090508355204178,-0.5966901048522495
O,CN(C)C=O,367.65,0.013952213618004,-0.5841195895770191
O,CN(C)C=O,368.15,-0.0091033096769078,-0.5827216545709102
O,CN(C)C=O,378.15,0.0097919024624692,-0.55373979533301
O,CN(C)C=O,382.95,0.2795843744141646,-0.5393045666930694
O,CN(C)C=O,397.75,0.1975549374345439,-0.4937624465698831
O,CCCO,298.15,1.4188801308674042,3.838002608626844
O,CCCO,303.05,1.2868524072810656,3.7626036147645583
O,CCCO,313.25,1.2045746231966257,3.6104762529283767
O,CCCO,323.15,1.1401955933182522,3.4690172319160704
O,CCCO,333.15,1.096202721324311,3.3322326658820094
O,CCCCO,298.15,1.3349431703195331,4.171027112948675
O,CCCCO,308.2,1.6863396925550702,3.992066430650069
O,CCCCO,323.23,1.6535504870524214,3.739252889271332
O,CCCCO,333.15,1.2586853962471345,3.5818049031735626
O,CCCCO,343.15,1.1963014546213606,3.4303688621883683
O,CCCCO,353.15,1.1406687209564528,3.285968851080938
O,CCCCO,363.15,1.132475728506433,3.148315973908517
O,CCCCO,363.15,1.3957594257355896,3.148315973908517
O,CCCCO,372.15,1.0950927690853998,3.029952213113728
O,CCCCO,373.15,1.1810674686043026,3.01711374509048
O,CCCCO,373.15,1.2350091552313354,3.01711374509048
O,CCCCO,373.15,1.3968385749955616,3.01711374509048
O,CCCCCO,313.15,1.4665970349992845,5.398058901884097
O,CCCCCO,348.55,1.535181929327298,4.631591318016211
O,CCCCCO,362.45,1.526792988597672,4.360864145592002
O,CCCCCO,369.15,1.476169342411549,4.236259089761333
O,CC#N,297.15,2.1070226614406007,1.91111445706512
O,CC(C)(C)O,323.13,1.5835168456026996,3.1152025640101035
O,CCC(C)(C)C,298.15,7.819977746680338,11.317396012195848
O,CCC(C)C,288.45,8.235835080501143,10.467964263120155
O,CCC(C)C,293.15,7.882296050877738,10.31337844706929
O,CCC(C)C,293.65,7.820082165189818,10.296680067702038
O,CCC(C)C,294.45,7.861137535819378,10.269869621528178
O,CCC(C)C,294.95,7.852155219254855,10.253056435670434
O,CCC(C)C,298.15,7.862501046337841,10.1444864664269
O,CC(C)CO,323.15,1.6764421412145742,3.558677389161489
O,CCC(C)O,323.18,1.5230517944747506,3.8392204564927472
O,CCC(C)O,332.25,1.273408377805898,3.691257340895313
O,CCC(C)O,350.25,1.283716082559567,3.4142366084757167
O,CCC(C)O,357.85,1.311298687383372,3.30376512139184
O,CCC(C)=O,298.15,2.283188183383314,3.504817041445877
O,CCC(C)=O,323.15,1.993751563984756,3.16307842174532
O,CCC(C)=O,333.15,1.976020810090479,3.0325749966785387
O,CCC(C)=O,333.15,2.00623085914904,3.0325749966785387
O,CCC(C)=O,343.15,1.948226036744644,2.906218568930876
O,CCC(C)=O,353.15,1.939398997439656,2.784239998857985
O,CCC(C)=O,373.15,1.7690468118986475,2.553863400417782
O,CCC(C)=O,373.15,1.8634458211487064,2.553863400417782
O,CCC(C)CC,295.5,8.078604504794848,11.914430804399466
O,CCC(C)CC,299.1,7.874035455601207,11.769938462036327
O,CC1CCCC1,303.15,6.950891393859272,11.357219973224474
O,CCCC(C)C,298.15,7.752008509183115,11.76818473675582
O,CC1CCCCC1,303.15,6.932974582114984,12.673020908295443
O,CC1CCCCC1,310.93,7.177965605521878,12.326221969998567
O,CCCCC,297.95,7.640810436475499,10.445295675431378
O,CCCCC,297.95,7.64925919646216,10.445295675431378
O,CCCCC,298.15,7.641847646473841,10.438274656372323
O,C1CCOC1,308.35,2.416779474906161,3.686788022129062
O,C1CCOC1,317.65,2.341190232105112,3.552564948715818
O,C1CCOC1,328.05,2.286752415010672,3.407972763176396
O,C1CCOC1,338.05,2.2363566113439464,3.27448451444323
