Solute_SMILES,Solvent_SMILES,T_K,ln_gamma_inf
O,CCCCCCCC#N,298.15,3.06438108585937
O,CCCCCCCCC=O,303.15,2.9565339601498337
O,C=C(C)C#N,298.15,3.513626853273869
O,CCC(C)c1ccccc1,298.15,5.902354606035913
O,CC(=O)OCc1ccccc1,298.15,3.3337996658091296
O,N#CCc1ccccc1,298.15,3.0793010649733086
O,C=CC(=O)OCC,298.15,2.5357898601025703
O,C=CC(=O)OCCCC,293.15,3.3700403362434663
O,CCc1cccc(CC)c1,298.15,6.000491184160619
O,CCCCCCOC(C)=O,298.15,3.0815979945303162
O,Cl/C=C\Cl,298.15,5.96597236494704
O,c1cscn1,363.15,1.4344438439063525
O,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,298.15,7.875339705243762
O,CCCCC(=O)CCCC,298.15,3.297572396137312
O,CC(O)C(C)O,369.65,0.42989101846999145
O,Cc1ccccc1C#N,298.15,3.452501842654026
O,Cc1ccccc1C=O,298.15,3.234331764086437
O,CCCCC(=O)OCC,298.15,2.9193046901040063
O,CCCCCOC(=O)CCC,298.15,3.30779471473115
O,CC(=O)OC(C)(C)C,298.15,2.672761480856375
O,CC(C)CCC#N,298.15,3.31770707116313
O,CC(C)COC=O,298.15,3.01876985880527
O,CCCCCCl,298.15,5.918380281557038
O,COC(=O)C(C)C,298.15,2.5913440853593595
O,CCC(=O)OC,298.15,2.4889650699155017
O,CC(C)C(=O)C(C)C,298.15,3.0327052701763786
O,CCc1ccccc1N,303.15,2.3270630484008707
O,CCCCOC(=O)CC,298.15,3.1866748952802126
O,C=CCCCC,298.15,6.4626128334837105
O,C=CCCCCC,298.15,6.480696190061714
O,COC(=O)C(C)(C)C,298.15,3.237187144639454
O,COC(=O)C(Cl)(Cl)Cl,302.75,3.9970532546127218
O,Cc1cccc(C#N)c1,298.15,3.635383736171186
O,CC(=O)OC1CCCCC1,298.15,2.884219538410967
O,CCCC(=O)OC,298.15,2.752558193976149
O,CCCCCCC(=O)CCC,298.15,3.632428143158984
O,CCCCC(=O)OC,298.15,2.9781078722002516
O,CCC(C)NC(C)CC,298.15,2.5776681298693114
O,N#CCCCCl,298.15,3.096197325961445
O,CCCCCOC(C)=O,298.15,3.1519237267289015
O,CCCCOCC,298.15,3.2005407601750395
O,ClCC(Cl)(Cl)Cl,298.15,5.311184232254861
O,CCOC(C)(C)C,298.15,2.910098129561646
O,CC(C)c1ccccc1N,303.15,3.1272121883360686
O,CC1(C)CCOCO1,378.15,1.5475710193180956
O,CCCCCCCC(C)=O,298.15,2.798311292046951
O,CCOC(C)(C)CC,298.15,3.3416844333743354
O,CCC(C)(C)OC,298.15,3.176990765494681
O,CCCC(=O)OC1CCCCC1,298.15,3.579831592990408
O,ClC(Cl)=C(Cl)C(Cl)(Cl)Cl,298.15,7.272377559019696
O,CCCCCCOC(=O)C(C)C,298.15,3.851053574171768
O,CCCCCCOC(=O)CCC,313.15,3.4350414872433968
O,COC(=O)CCCCl,298.15,2.8166414921801626
O,O=COC1CCCCC1,298.15,3.125298942036406
O,CC(CC=O)CC(C)(C)C,298.15,3.1041112291350808
O,CCCCCCCCCOC=O,298.15,3.8462036643908526
O,CCCCCCCOC(=O)CCC,298.15,3.4767376609075025
O,CCC(=O)OC1CCCCC1,298.15,3.5034651196097335
O,CCCCCCCCN(C)C,298.15,2.6808502811755557
O,CCOC(=O)C(C)CC,298.15,3.055269245269913
O,CC(C)CN1CCOCC1,298.15,3.0528354080882893
O,COC(=O)C(C)Cl,302.85,3.4410364933112563
O,CCc1ccc(C)cc1N,298.15,3.489723998984002
O,CC(=O)OCCCCCCC(C)C,298.15,3.569208700338316
